c0_keep_ratio,c0_kept,c0_mean_prob,c0_points,c1_keep_ratio,c1_kept,c1_mean_prob,c1_points,c2_keep_ratio,c2_kept,c2_mean_prob,c2_points,c3_keep_ratio,c3_kept,c3_mean_prob,c3_points,class_source,out_stem,poly_c0,poly_c1,poly_c2,poly_c3,seg_objects,split,src_stem,status
0.03334722801167153,80,0.03293711319565773,2399,0.13627614525856538,1062,0.1297263354063034,7793,0.2031308703819662,1622,0.20066441595554352,7985,0.24746687451286048,1905,0.2554140090942383,7698,detect_bbox_fallback_after:none,aug_000000,1,1,1,1,4,train,aug_000000,ok
0.0460772104607721,111,0.04384222254157066,2409,0.15476660092044708,1177,0.15691150724887848,7605,0.3825671941723185,3046,0.3819058835506439,7962,0.22114502816716888,1688,0.22989203035831451,7633,detect_bbox_fallback_after:none,aug_000002,1,1,1,1,4,train,aug_000002,ok
0.04404040404040404,109,0.04797811433672905,2475,0.23837059881778463,1855,0.2371019721031189,7782,0.31046747967479676,2444,0.3133537471294403,7872,0.17240935973257906,1341,0.17288127541542053,7778,detect_bbox_fallback_after:none,aug_000003,1,1,1,1,4,train,aug_000003,ok
0.03945745992601726,96,0.04735584929585457,2433,0.3609375,2772,0.36101049184799194,7680,0.34116764595574445,2729,0.33214741945266724,7999,0.3366362451108214,2582,0.33324822783470154,7670,detect_bbox_fallback_after:none,aug_000004,1,1,1,1,4,train,aug_000004,ok
0.06170458927882761,160,0.06069907546043396,2593,0.35572599841311825,2690,0.3490649163722992,7562,0.14020119699477906,1101,0.14183983206748962,7853,0.2899672131147541,2211,0.288618803024292,7625,detect_bbox_fallback_after:none,aug_000005,1,1,1,1,4,train,aug_000005,ok
0.03717948717948718,87,0.038958530873060226,2340,0.2804721580703105,2186,0.27633193135261536,7794,0.18862012783556836,1505,0.1888071447610855,7979,0.1789008704690139,1377,0.18143002688884735,7697,detect_bbox_fallback_after:none,aug_000009,1,1,1,1,4,train,aug_000009,ok
0.03456892961266139,83,0.03844323381781578,2401,0.3355503390714658,2573,0.3392195999622345,7668,0.30193020580340024,2362,0.2988796830177307,7823,0.3085092604584898,2382,0.3081125020980835,7721,detect_bbox_fallback_after:none,aug_000010,1,1,1,1,4,train,aug_000010,ok
0.060459492140266025,150,0.06288034468889236,2481,0.2654071661237785,2037,0.2718427777290344,7675,0.308635731445189,2441,0.30428940057754517,7909,0.2912095004517878,2256,0.2876156270503998,7747,detect_bbox_fallback_after:none,aug_000011,1,1,1,1,4,train,aug_000011,ok
0.06487341772151899,164,0.06409657746553421,2528,0.1894069475630696,1434,0.18682865798473358,7571,0.20135886349598517,1630,0.20000669360160828,8095,0.30895655497515606,2425,0.30745482444763184,7849,detect_bbox_fallback_after:none,aug_000012,1,1,1,1,4,train,aug_000012,ok
0.08455882352941177,207,0.08558660745620728,2448,0.1469408873366964,1136,0.14996331930160522,7731,0.22795509019805726,1807,0.22928644716739655,7927,0.2446201711174488,1887,0.24426297843456268,7714,detect_bbox_fallback_after:none,aug_000013,1,1,1,1,4,train,aug_000013,ok
0.08630470016207456,213,0.08554524928331375,2468,0.15119568012342505,1176,0.15431664884090424,7778,0.16852955787382018,1357,0.17140227556228638,8052,0.26095564941921856,1977,0.2630995810031891,7576,detect_bbox_fallback_after:none,aug_000014,1,1,1,1,4,train,aug_000014,ok
0.04292929292929293,102,0.044067300856113434,2376,0.09509043927648579,736,0.09370763599872589,7740,0.13071651090342679,1049,0.12851473689079285,8025,0.16688160949187517,1294,0.16849669814109802,7754,detect_bbox_fallback_after:none,aug_000015,1,1,1,1,4,train,aug_000015,ok
0.04716981132075472,115,0.045676637440919876,2438,0.18654512774425472,1453,0.18753564357757568,7789,0.43347033136398666,3375,0.4405888319015503,7786,0.21128231914337947,1618,0.21165971457958221,7658,detect_bbox_fallback_after:none,aug_000016,1,1,1,1,4,train,aug_000016,ok
0.06385591485878019,156,0.0605015903711319,2443,0.2484321003455779,1941,0.24902711808681488,7813,0.16938472942920682,1371,0.16893775761127472,8094,0.19481865284974093,1504,0.19761358201503754,7720,detect_bbox_fallback_after:none,aug_000017,1,1,1,1,4,train,aug_000017,ok
0.06623586429725363,164,0.07365544140338898,2476,0.09904933196300103,771,0.09627584367990494,7784,0.2085319949811794,1662,0.19967302680015564,7970,0.12662463003474456,984,0.12615567445755005,7771,detect_bbox_fallback_after:none,aug_000018,1,1,1,1,4,train,aug_000018,ok
0.06323283082077052,151,0.06207222864031792,2388,0.2788207297726071,2109,0.27141234278678894,7564,0.19084542271135568,1526,0.19583958387374878,7996,0.17884391568602095,1383,0.17086705565452576,7733,detect_bbox_fallback_after:none,aug_000019,1,1,1,1,4,train,aug_000019,ok
0.060777957860615885,150,0.05833054333925247,2468,0.2883914627798022,2216,0.2946544587612152,7684,0.1738532683414573,1391,0.1706068366765976,8001,0.16668835393623943,1281,0.16872859001159668,7685,detect_bbox_fallback_after:none,aug_000020,1,1,1,1,4,train,aug_000020,ok
0.05963880722385552,142,0.06019577383995056,2381,0.3733139381116107,2823,0.3761504292488098,7562,0.2784378159757331,2203,0.27901020646095276,7912,0.1929892640020696,1492,0.19578921794891357,7731,detect_bbox_fallback_after:none,aug_000021,1,1,1,1,4,train,aug_000021,ok
0.07408940397350994,179,0.081241175532341,2416,0.23367519148383747,1800,0.22999048233032227,7703,0.15613990941117262,1241,0.16076095402240753,7948,0.14898795798104023,1163,0.15563629567623138,7806,detect_bbox_fallback_after:none,aug_000024,1,1,1,1,4,train,aug_000024,ok
0.043973941368078175,108,0.042868394404649734,2456,0.3282552083333333,2521,0.32681331038475037,7680,0.2733641936694608,2185,0.27648746967315674,7993,0.18867192551403078,1459,0.1934175342321396,7733,detect_bbox_fallback_after:none,aug_000025,1,1,1,1,4,train,aug_000025,ok
0.09811017289907518,244,0.0877988412976265,2487,0.41815151903602105,3262,0.4125755727291107,7801,0.3153806977336389,2477,0.3153003454208374,7854,0.1688969728465636,1300,0.17572329938411713,7697,detect_bbox_fallback_after:none,aug_000027,1,1,1,1,4,train,aug_000027,ok
0.044858231062209056,106,0.049293335527181625,2363,0.16679667186687466,1283,0.16738951206207275,7692,0.2913054248204112,2352,0.28240981698036194,8074,0.23464341488807913,1803,0.23976433277130127,7684,detect_bbox_fallback_after:none,aug_000029,1,1,1,1,4,train,aug_000029,ok
0.038477801268498944,91,0.04011859372258186,2365,0.17603722373012795,1362,0.1741870641708374,7737,0.17198163543864003,1386,0.17533065378665924,8059,0.10546525022398566,824,0.10715670138597488,7813,detect_bbox_fallback_after:none,aug_000030,1,1,1,1,4,train,aug_000030,ok
0.04256181597081476,105,0.04336778074502945,2467,0.2801181608014385,2181,0.2775443196296692,7786,0.2933199397287795,2336,0.292214572429657,7964,0.17599688271204053,1355,0.17542321979999542,7699,detect_bbox_fallback_after:none,aug_000031,1,1,1,1,4,train,aug_000031,ok
0.07136929460580912,172,0.07345819473266602,2410,0.2567341152210336,1992,0.25358328223228455,7759,0.21203656678517013,1670,0.2121405154466629,7876,0.3067403896787783,2330,0.30755919218063354,7596,detect_bbox_fallback_after:none,aug_000032,1,1,1,1,4,train,aug_000032,ok
0.05095277547638774,123,0.046432096511125565,2414,0.2395928487537518,1836,0.2390035092830658,7663,0.3024299065420561,2427,0.3013842701911926,8025,0.28642384105960267,2249,0.28576380014419556,7852,detect_bbox_fallback_after:none,aug_000033,1,1,1,1,4,train,aug_000033,ok
0.06680851063829787,157,0.07261636108160019,2350,0.2672288839109237,2028,0.2618821859359741,7589,0.21705815852279864,1728,0.2147638350725174,7961,0.26268888027896165,2034,0.2612644135951996,7743,detect_bbox_fallback_after:none,aug_000034,1,1,1,1,4,train,aug_000034,ok
0.03664495114006515,90,0.03431663289666176,2456,0.23049921996879874,1773,0.23126083612442017,7692,0.25872457946271654,2061,0.2615131735801697,7966,0.18447737909516382,1419,0.18460030853748322,7692,detect_bbox_fallback_after:none,aug_000036,1,1,1,1,4,train,aug_000036,ok
0.08590492076730609,206,0.082742840051651,2398,0.2790512786537697,2106,0.2751312553882599,7547,0.266199649737303,2128,0.2698131203651428,7994,0.12942691564713457,1005,0.1280858963727951,7765,detect_bbox_fallback_after:none,aug_000037,1,1,1,1,4,train,aug_000037,ok
0.0411433521004764,95,0.03709554299712181,2309,0.3062614618810584,2338,0.3036656379699707,7634,0.18246623311655827,1459,0.18338945508003235,7996,0.32290297133841706,2456,0.31654754281044006,7606,detect_bbox_fallback_after:none,aug_000038,1,1,1,1,4,train,aug_000038,ok
0.0342327829238824,85,0.03295591101050377,2483,0.23491490458999484,1822,0.22737236320972443,7756,0.3405905905905906,2722,0.3384547829627991,7992,0.15451745379876797,1204,0.15503838658332825,7792,detect_bbox_fallback_after:none,aug_000041,1,1,1,1,4,train,aug_000041,ok
0.04668008048289739,116,0.04547987878322601,2485,0.16950032446463337,1306,0.1673239767551422,7705,0.25794392523364484,2070,0.2585618793964386,8025,0.3929408700182339,3017,0.38919439911842346,7678,detect_bbox_fallback_after:none,aug_000042,1,1,1,1,4,train,aug_000042,ok
